RA,ano_nascimento,idade_atual,genero,faixa_etaria,ano_ingresso,status,instituicao_ensino,fase_2022,fase_2023,fase_2024,pedra_2022,pedra_2023,pedra_2024,inde_2022,inde_2023,inde_2024,inde_media,classificacao_geral_2022,classificacao_geral_2023,classificacao_geral_2024,classificacao_geral_media,autoavaliacao_2022,autoavaliacao_2023,autoavaliacao_2024,autoavaliacao_media,engajamento_2022,engajamento_2023,engajamento_2024,engajamento_media,psicossocial_2022,psicossocial_2023,psicossocial_2024,psicossocial_media,aprendizagem_2022,aprendizagem_2023,aprendizagem_2024,aprendizagem_media,matematica_2022,matematica_2023,matematica_2024,matematica_media,portugues_2022,portugues_2023,portugues_2024,portugues_media,ingles_2022,ingles_2023,ingles_2024,ingles_media,adequacao_nivel_2022,adequacao_nivel_2023,adequacao_nivel_2024,adequacao_nivel_media,fase_ideal_2022,fase_ideal_2023,fase_ideal_2024
RA-1,2003,22,Feminino,18+ anos,2021,Veterano,Escola Pública | Privada *Parcerias com Bolsa 100%,7.0,8.0,8.0,Quartzo,,,5.783,,,5.783,753.0,,,753.0,8.3,,,8.3,4.1,,0.0,0.0,5.6,,,5.6,4.0,,,4.0,2.7,,,2.7,3.5,,,3.5,6.0,,,6.0,5.0,10.0,10.0,8.333333333333334,Fase 8 (Universitários),Fase 8 (Universitários),Fase 8 (Universitários)
RA-2,2005,20,Feminino,18+ anos,2021,Veterano,Rede Decisão | Privada *Parcerias com Bolsa 100%,7.0,8.0,8.0,Ametista,,,7.055,,,7.055,469.0,,,469.0,8.8,,,8.8,5.2,,0.0,0.0,6.3,,,6.3,6.8,,,6.8,6.3,,,6.3,4.5,,,4.5,9.7,,,9.7,10.0,10.0,10.0,10.0,Fase 7 (3º EM),Fase 8 (Universitários),Fase 8 (Universitários)
RA-3,2005,20,Feminino,18+ anos,2016,Veterano,Rede Decisão,7.0,,,Ágata,,,6.591,,,6.591,629.0,,,629.0,0.0,,,0.0,7.9,,,7.9,5.6,,,5.6,5.6,,,5.6,5.8,,,5.8,4.0,,,4.0,6.9,,,6.9,10.0,,,10.0,Fase 7 (3º EM),,
RA-4,2005,20,Menino,18+ anos,2017,Veterano,Rede Decisão,7.0,,,Quartzo,,,5.951,,,5.951,731.0,,,731.0,8.8,,,8.8,4.5,,,4.5,5.6,,,5.6,5.0,,,5.0,2.8,,,2.8,3.5,,,3.5,8.7,,,8.7,10.0,,,10.0,Fase 7 (3º EM),,
RA-5,2005,20,Feminino,18+ anos,2016,Veterano,Rede Decisão | Privada *Parcerias com Bolsa 100%,7.0,8.0,,Ametista,,,7.427,,,7.427,344.0,,,344.0,7.9,,,7.9,8.6,,,8.6,5.6,,,5.6,5.2,,,5.2,7.0,,,7.0,2.9,,,2.9,5.7,,,5.7,10.0,10.0,,10.0,Fase 7 (3º EM),Fase 8 (Universitários),
RA-6,2004,21,Feminino,18+ anos,2021,Veterano,Escola Pública | Privada - Pagamento por *Empresa Parceira | Privada *Parcerias com Bolsa 100%,7.0,8.0,8.0,Quartzo,,,5.848,,,5.848,745.0,,,745.0,7.9,,,7.9,4.5,,0.0,0.0,7.5,,,7.5,3.3,,,3.3,2.3,,,2.3,5.3,,,5.3,2.3,,,2.3,5.0,10.0,10.0,8.333333333333334,Fase 8 (Universitários),Fase 8 (Universitários),Fase 8 (Universitários)
RA-7,2004,21,Masculino,18+ anos,2021,Veterano,Rede Decisão | Privada *Parcerias com Bolsa 100%,7.0,8.0,8.0,Ágata,,,6.818,,,6.818,550.0,,,550.0,0.0,,,0.0,8.4,,0.0,0.0,7.5,,,7.5,7.6,,,7.6,8.2,,,8.2,5.7,,,5.7,9.0,,,9.0,5.0,10.0,10.0,8.333333333333334,Fase 8 (Universitários),Fase 8 (Universitários),Fase 8 (Universitários)
RA-8,2002,23,Feminino,18+ anos,2018,Veterano,Escola Pública,7.0,,,Quartzo,,,4.786,,,4.786,836.0,,,836.0,7.1,,,7.1,4.6,,,4.6,6.3,,,6.3,1.6,,,1.6,1.2,,,1.2,0.7,,,0.7,2.9,,,2.9,5.0,,,5.0,Fase 8 (Universitários),,
RA-9,2004,21,Feminino,18+ anos,2019,Veterano,Escola Pública,7.0,,,Topázio,,,8.109,,,8.109,113.0,,,113.0,8.8,,,8.8,9.5,,,9.5,7.5,,,7.5,6.7,,,6.7,5.5,,,5.5,6.0,,,6.0,8.7,,,8.7,5.0,,,5.0,Fase 8 (Universitários),,
RA-10,2004,21,Feminino,18+ anos,2021,Veterano,Escola Pública,7.0,,,Quartzo,,,5.784,,,5.784,752.0,,,752.0,8.3,,,8.3,5.2,,,5.2,5.0,,,5.0,4.1,,,4.1,3.3,,,3.3,2.6,,,2.6,6.4,,,6.4,5.0,,,5.0,Fase 8 (Universitários),,
